"orgname","codedef01","mission"
"SANKOFA AFRICAN AMERICAN HERITAGE TRAIL","Arts, Culture, and Humanities","Sankofa African American Heritage Trail is an organization formed to encourage people to preserve, restore, educate, and encourage good stewardship of the cultural artifacts of African American Gullah Geechee people in East Liberty County, Georgia."
"EUSTIS AFRICAN AMERICAN HERITAGE COMMITTEE INC","Arts, Culture, and Humanities","To uphold the legacy of African Am. History  Culture locally with 1-activities recognizing the accomplishments of Eustis African Am. natives and residents (Black Achievers' Banquet), 2-organizing and producing a parade  state recognized festival."
"BLACK FOLKS MAKE MOVIES ","Arts, Culture, and Humanities","Black Folks Make Movies, is committed to the examination of Black film history through images portrayed in film via education, the promotion of past & current independent filmmakers of color and the celebration of same."
"UJIMA MENS COLLECTIVE ","Arts, Culture, and Humanities","The organization is to provide education, empowerment and encouragement to Black same gender loving men and those that love and support them. The program is to encourge Black SGL men and those that love and support them to live their lives openly."
"TAKING TRAVEL BLACK INC ","Arts, Culture, and Humanities","The mission of Taking Travel Black is to build a community of global citizens from across the Black Diaspora."
"HEART OF AMERICA ARAB CULTURAL ARTS ","Arts, Culture, and Humanities","To foster cultural diversity and enrich the community's artistic experience and appreciation of Arts from the Arab world in Missouri and Kansas through art, education and culturally relevant events including dance, music, culinary arts, and crafts."
"HAINES CITY NORTHEAST REVITALIZATION GROUP","Arts, Culture, and Humanities","We organize community and cultural activities such as Black History Celebrations, Veterans recognition, Community service recognition"
"THE SISTRUNK PARADE AND FESTIVAL INC","Arts, Culture, and Humanities","The Sistrunk Parade and Festival INC celebrates the accomplishments of people of African descent.  The organisation is in honor to Dr James Sistrunk, one of the first African American Physicians in Broward Country."
"HARAMBEE KINGSTON NY ","Arts, Culture, and Humanities","Promotion of African-American Culture. Held first Black History Month celebration in Kingston with events for entire month of February 2018. Held Juneteenth celebration June 2018. Planning first African-American Festival for August 2019."
"DFW CULTURAL CENTER RASTKO ","Arts, Culture, and Humanities","The DFW Cultural Center RASTKO is to serve as an advocate of cultural diversity in our community through art representative of Serbian culture and heritage. Envisioned is the art program which includes various cultural events."
"RHYTHM OF THE WORLD FOUNDATION INC ","Arts, Culture, and Humanities","Rhythm of the World Foundation Inc strives to promote cultural diversity through dance and music."
"COALITION OF BLACK EXCELLENCE ","Arts, Culture, and Humanities","The specific purpose of the Corporation is to educate, connect, empower, and support African Americans and individuals of African descent by providing substantive educational programming that relates to issues impacting the Black community."
"BULGARIAN CULTURAL CENTER OF CENTRAL PENNSYLVANIA","Arts, Culture, and Humanities","The organization is operated exclusively for charitable and education purposes, specifically including, but not limited to promoting awareness and tolerance of cultural and ethnic diversity."
"NORTH SHORE JUNETEENTH ASSOCIATION INC","Arts, Culture, and Humanities","The mission of The North Shore Juneteenth Association Inc. will be to share positive aspects and images of African American culture"
"KNOW THYSELF FOUNDATION FOR THE AFRICAN DIASPORA IN AMERICA","Arts, Culture, and Humanities","KTFADA will participate in crowd funding and other fundraising activities to pay for ancestry and, if financially feasible, health screenings for African Americans who wish to know from which African country they are descended."
"BLACK DISCUSSION & AWARENESS INC ","Arts, Culture, and Humanities","This corporation will engage in community service activities to support cultural awareness and quality of life for African American individuals and families and those affected by African American culture."
"VIVA LA VIDA ","Arts, Culture, and Humanities","Educating young people through exposure to diverse cultures, languanges, travel and other activities relating to diversity. Create and facilitate educational programs to encourage personal growth, acceptance of self and others."
"CULTURAL ORGANIZATION OF FILIPINO AMERICANS CO-FAM INCORPORATED","Arts, Culture, and Humanities","To promote, preserve, and celebrate the Filipino-American culture and heritage by educating the community, inspiring our youth, and involving them in traditional, social, and cultural events. Vision: to promote diversity and cultural inclusion."
"BLACK HISTORIC PRESERVATION FOUNDATION INC","Arts, Culture, and Humanities","Preserve and develop the black historical, architectural, and cultural heritage of Glynn County, Georgia and the surrounding areas."
"NEW SPIRIT PRODUCTIONS INC ","Arts, Culture, and Humanities","TO PROVIDE PRODUCTION RESOURCES AND ART EDUCATION TO ALL MINORITY IDENTIFIED AND STRUGGLING ARTISTS."
"THE AURIS PROJECT INC ","Arts, Culture, and Humanities","Auris develops grassroots media platforms that advocate for the protection of human and civil rights, amplify the voices within marginalized communities, ensure cultural preservation and foster understanding of issues that impact human rights."
"THE EQUITY NETWORK ","Arts, Culture, and Humanities","The Equity Network provides educator training and resources in the area of equity and inclusion. There is a shortage of resources and funds for professional development for educators nationwide. This organization provides affordable training."
"DIASPORA IN ACTION ","Arts, Culture, and Humanities","TO PROMOTE AND FOSTER SAFETY AND WELLNESS IN THE COMMUNITY WHILE CELEBRATING

ETHNIC PRIDE AND DIVERSITY IN OUR NEIGHBORHOODS."
"BLACK LEADERS ADVANCING COMMUNITY CHANGE","Arts, Culture, and Humanities","Black Leaders Advancing Community Change convenes and equip black leaders with the space and tools to lead black-led social change."
"AMERICAN INDIAN COUNCIL ","Arts, Culture, and Humanities","MSU American Indian Council is the the official American Indian student group at Montana State University. The AIC hosts various events and fundraisers, including MSU's largest diversity event, the AIC Powwow."
"BLACK FREE SCHOOL ","Arts, Culture, and Humanities","Learning community that empowers Black children and their families to discover their ancestral roots and plant seeds for the future through community based education, entrepreneurship skill building, and travel throughout the African Diaspora."
"NATIONAL CELEBRATION OF BLACK WOMENINC","Arts, Culture, and Humanities","National Celebration of Black Women, Inc. is a non-profit public benefit corporation whose Mission is to celebrate extraordinary contributions women of African descent have made in building this great nation of these United States of America."
"PLEASANT VIEW UNITED METHODIST CHURCH","Arts, Culture, and Humanities",".The mission is to preserve, maintain, and protect the three acre site of African American history and culture in order to educate present and future generations about the lessons learned through education, faith and tradition that make a community."
"CROSSING OVER ","Arts, Culture, and Humanities","Crossing over ministry mission is to promote diversity and cultural awareness through education and interaction with other cultures."
"EUGENE BULLARD SOCIETY INTERNATIONAL","Arts, Culture, and Humanities","Eugene Bullard is a US hero, the first black pilot, flew in the Lafayette Escadrille. However, he is not well known. We will honor Bullard with: website, distribute books and create a scholarship for HS grads seeking a BS degree in Aviation/Aerospace"
"VIETNAMESE-AMERICAN SENIOR ASSOCIATION OF SPOKANE","Arts, Culture, and Humanities","To foster goodwill among the Spokane community; to promote the importance of diversity by preserving and educating the community about Vietnamese heritage and history; and to support and advocate for the interest of the Vietnamese senior citizens."
"THOMAS BROWN DREAM FOUNDATION CORP ","Arts, Culture, and Humanities","Helping others realize their dreams by advancing social justice initiatives and alternative mentoring programs."
